"","x"
"1","αal2o3"
"2","0001"
"3","102"
"4","2003"
"5","60dislocation"
"6","a1ae1"
"7","a2ae2"
"8","a3ae3"
"9","a4ae4"
"10","aberration"
"11","abnormal"
"12","absorption"
"13","acceptor"
"14","accommodation"
"15","according"
"16","achromatic"
"17","acicular"
"18","acicularmartensite"
"19","acmaecm"
"20","activated"
"21","activation"
"22","active"
"23","adatom"
"24","adsorbent"
"25","adsorption"
"26","aftereffect"
"27","agent"
"28","aging"
"29","aircooling"
"30","aliovalent"
"31","allotriomorph"
"32","allotropic"
"33","allotropy"
"34","alloy"
"35","alloying"
"36","along"
"37","alpha"
"38","alumina"
"39","ambipolar"
"40","amorphous"
"41","amplitude"
"42","analysis"
"43","analytical"
"44","andrade"
"45","anelasticity"
"46","angle"
"47","angles"
"48","anisotropic"
"49","anisotropy"
"50","anneal"
"51","annealhomogenization"
"52","annealing"
"53","annealinganneal"
"54","annealingtexture"
"55","annealingtwin"
"56","annihilation"
"57","anomalous"
"58","another"
"59","antiferromagnetic"
"60","antiphase"
"61","antisite"
"62","antistructural"
"63","aperture"
"64","apochromatic"
"65","aresolidphasesofcompositionsxyandzrespectively"
"66","arrest"
"67","arrhenius"
"68","articles"
"69","artifact"
"70","artificial"
"71","aspect"
"72","asterism"
"73","astigmatism"
"74","asymmetric"
"75","athermal"
"76","atmosphere"
"77","atom"
"78","atomic"
"79","atomizing"
"80","auger"
"81","augerelectron"
"82","ausforming"
"83","austempering"
"84","austenite"
"85","austenitestabilizer"
"86","austenitic"
"87","austeniticferritic"
"88","austeniticmartensitic"
"89","austenitization"
"90","autoelectronic"
"91","autoradiography"
"92","avogadro"
"93","avrami"
"94","axial"
"95","axis"
"96","background"
"97","backreflection"
"98","backscattered"
"99","bainite"
"100","bainitic"
"101","bamboostructure"
"102","band"
"103","bandedstructure"
"104","barrierlock"
"105","basal"
"106","basalslip"
"107","base"
"108","based"
"109","basis"
"110","bauschinger"
"111","bend"
"112","bicrystal"
"113","bimetallic"
"114","bimodal"
"115","binodal"
"116","blocky"
"117","bodycentered"
"118","boltzmann"
"119","bond"
"120","bordoni"
"121","borrmann"
"122","boundaries"
"123","boundary"
"124","bragg"
"125","braggs"
"126","brass"
"127","bravais"
"128","bremsstrahlung"
"129","brightfield"
"130","brittleness"
"131","bronze"
"132","bsdef"
"133","bsrex"
"134","bulk"
"135","bulkmodulus"
"136","burger"
"137","burgers"
"138","calorimetry"
"139","capillary"
"140","carbide"
"141","carbideformer"
"142","carbon"
"143","carbonitride"
"144","cascade"
"145","cast"
"146","casting"
"147","cavitation"
"148","ccurve"
"149","cell"
"150","cellular"
"151","cellularmicrosegregation"
"152","cementite"
"153","center"
"154","ceramic"
"155","change"
"156","channeling"
"157","character"
"158","characteristicxrays"
"159","chemical"
"160","class"
"161","cleavage"
"162","climb"
"163","closepacked"
"164","closing"
"165","cloud"
"166","coagulation"
"167","coalescence"
"168","coarsegrained"
"169","coarsening"
"170","coarsepearlite"
"171","coefficient"
"172","coherencystrain"
"173","coherencystrainhardening"
"174","coherent"
"175","coincidence"
"176","cold"
"177","coldrolled"
"178","colony"
"179","colonynodule"
"180","color"
"181","columnar"
"182","columnarzone"
"183","compacted"
"184","compatibility"
"185","compensating"
"186","complete"
"187","complex"
"188","component"
"189","components"
"190","composite"
"191","composition"
"192","compound"
"193","compoundphase"
"194","compromise"
"195","compton"
"196","concentration"
"197","condensed"
"198","condition"
"199","conduction"
"200","congruent"
"201","conjugate"
"202","conode"
"203","constant"
"204","constitution"
"205","constitutional"
"206","constraint"
"207","continuous"
"208","contour"
"209","contrast"
"210","controlled"
"211","cooling"
"212","cooperative"
"213","coordination"
"214","core"
"215","coring"
"216","corundum"
"217","cottrell"
"218","coupled"
"219","covalent"
"220","creep"
"221","cristobalite"
"222","critical"
"223","criticalresolved"
"224","crossslip"
"225","crowdion"
"226","crystal"
"227","crystalgrain"
"228","crystalline"
"229","crystallite"
"230","crystallization"
"231","crystallographic"
"232","crystals"
"233","cscl"
"234","cslboundary"
"235","cube"
"236","cubeonedge"
"237","cubic"
"238","curietemperature"
"239","curvaturedriven"
"240","curve"
"241","cutype"
"242","damage"
"243","darkfield"
"244","debyescherrer"
"245","decomposition"
"246","decorated"
"247","deep"
"248","defect"
"249","defects"
"250","deformation"
"251","deformationtexture"
"252","degree"
"253","delocalization"
"254","dendrite"
"255","dendritic"
"256","denoted"
"257","densely"
"258","density"
"259","depth"
"260","der"
"261","desorption"
"262","devitrification"
"263","diagram"
"264","diamagnetic"
"265","diamond"
"266","diaphragm"
"267","different"
"268","differential"
"269","diffraction"
"270","diffractogram"
"271","diffractometer"
"272","diffractometric"
"273","diffractometry"
"274","diffuse"
"275","diffusion"
"276","diffusional"
"277","diffusioncontrolled"
"278","diffusionless"
"279","diffusivity"
"280","dilation"
"281","dilatometer"
"282","dilute"
"283","dipole"
"284","direct"
"285","direction"
"286","directional"
"287","directions"
"288","disclination"
"289","discontinuous"
"290","dislocation"
"291","dislocations"
"292","disorder"
"293","disordered"
"294","disordering"
"295","disorientation"
"296","dispersedphase"
"297","dispersion"
"298","dispersoid"
"299","dispersoidfree"
"300","displacement"
"301","displacive"
"302","dissociation"
"303","dissolution"
"304","distortion"
"305","distribution"
"306","divacancy"
"307","divorced"
"308","domain"
"309","donor"
"310","dopant"
"311","doping"
"312","double"
"313","doublecrossslip"
"314","doublet"
"315","drag"
"316","dres"
"317","drift"
"318","driving"
"319","dualphase"
"320","duces"
"321","ductile"
"322","ductilebrittle"
"323","ductility"
"324","duplex"
"325","dynamic"
"326","earing"
"327","easy"
"328","edge"
"329","effect"
"330","either"
"331","elastic"
"332","elasticdeformation"
"333","elasticity"
"334","electrical"
"335","electroetching"
"336","electromigration"
"337","electron"
"338","electronatom"
"339","electronegativity"
"340","element"
"341","elementary"
"342","elements"
"343","elongation"
"344","embryo"
"345","emission"
"346","energy"
"347","energydispersive"
"348","energyspectrum"
"349","engineering"
"350","enthalpy"
"351","epitaxial"
"352","epitaxialdislocation"
"353","epitaxy"
"354","equals"
"355","equation"
"356","equations"
"357","equatorial"
"358","equiaxed"
"359","equilibrium"
"360","equivalence"
"361","etc"
"362","etch"
"363","etching"
"364","etry"
"365","euler"
"366","eutectic"
"367","eutectoid"
"368","ewald"
"369","exaggerated"
"370","examination"
"371","excess"
"372","exchange"
"373","existing"
"374","exponent"
"375","extended"
"376","extinction"
"377","extraction"
"378","extrinsic"
"379","eyepiece"
"380","facecenteredcubicfccstructure"
"381","facecenteredlattice"
"382","factor"
"383","factoramplitude"
"384","fault"
"385","faults"
"386","fcenter"
"387","fec"
"388","fefe3c"
"389","ferrimagnetic"
"390","ferrite"
"391","ferritestabilizer"
"392","ferritic"
"393","ferroelectric"
"394","ferromagnetic"
"395","fiber"
"396","ficks"
"397","field"
"398","fieldion"
"399","fieldofview"
"400","figure"
"401","figureb4"
"402","film"
"403","fine"
"404","finegrained"
"405","finish"
"406","firing"
"407","firstordertwin"
"408","fixed"
"409","flake"
"410","flow"
"411","fluctuation"
"412","fluorescence"
"413","fluorite"
"414","focus"
"415","foil"
"416","forbidden"
"417","force"
"418","foreign"
"419","forest"
"420","form"
"421","formmodification"
"422","fracture"
"423","fragmentation"
"424","frank"
"425","frankread"
"426","frankvan"
"427","free"
"428","freedom"
"429","frenkel"
"430","friction"
"431","fringes"
"432","full"
"433","function"
"434","fundamental"
"435","gap"
"436","garnet"
"437","gas"
"438","general"
"439","geometric"
"440","geometrically"
"441","gibbs"
"442","gibbsthomson"
"443","glancingangle"
"444","glass"
"445","glassceramic"
"446","glassy"
"447","glide"
"448","glissile"
"449","goss"
"450","grain"
"451","grainboundary"
"452","grainboundarysegregation"
"453","grainboundarysliding"
"454","grainboundarystrengthening"
"455","grained"
"456","grainoriented"
"457","grainparticle"
"458","granular"
"459","graphite"
"460","graphitization"
"461","graphitizer"
"462","gray"
"463","green"
"464","greningertroiano"
"465","groove"
"466","group"
"467","growth"
"468","habit"
"469","hallpetch"
"470","hardenability"
"471","hardened"
"472","hardening"
"473","hardness"
"474","harperdorn"
"475","heat"
"476","height"
"477","helical"
"478","helmholtz"
"479","heterogeneous"
"480","heterogeneousmicrostructure"
"481","heterojunction"
"482","heterophase"
"483","heteropolar"
"484","heterostructure"
"485","hexagonal"
"486","highangle"
"487","hightemperature"
"488","highvoltage"
"489","homoepitaxial"
"490","homogeneity"
"491","homogeneous"
"492","homogeneousnucleation"
"493","homogenizing"
"494","homologous"
"495","homopolar"
"496","hookes"
"497","hot"
"498","hotstage"
"499","humerothery"
"500","hydrostatic"
"501","hypereutectic"
"502","hypereutectoid"
"503","hysteresis"
"504","ideal"
"505","ification"
"506","illumination"
"507","image"
"508","images"
"509","imaging"
"510","imen"
"511","immersion"
"512","imperfect"
"513","imperfection"
"514","implantation"
"515","impurity"
"516","incoherent"
"517","increase"
"518","incubation"
"519","indices"
"520","indirect"
"521","induction"
"522","inelastic"
"523","ingot"
"524","inhomogeneity"
"525","inhomogeneous"
"526","inoculant"
"527","intensity"
"528","interaction"
"529","intercritical"
"530","intercrystalline"
"531","interdiffusion"
"532","interface"
"533","interfacial"
"534","interference"
"535","intergranular"
"536","interlamellar"
"537","intermediate"
"538","intermetallic"
"539","internal"
"540","interphase"
"541","interplanarspacing"
"542","interstice"
"543","interstitial"
"544","interstitialcy"
"545","intracrystalline"
"546","intragranular"
"547","intrinsic"
"548","invariant"
"549","inverse"
"550","involved"
"551","inþsitu"
"552","ion"
"553","ionic"
"554","iron"
"555","irradiation"
"556","irradiationinduced"
"557","irreversible"
"558","island"
"559","isochronal"
"560","isoforming"
"561","isomorphism"
"562","isomorphous"
"563","isostatic"
"564","isothermal"
"565","isotropic"
"566","jog"
"567","johnsonmehlkolmogorov"
"568","junction"
"569","kê"
"570","kelvins"
"571","kerr"
"572","kikuchi"
"573","kinetics"
"574","kink"
"575","kinking"
"576","kirkendall"
"577","kossel"
"578","köster"
"579","kurdjumovsachs"
"580","laminar"
"581","lankford"
"582","large"
"583","largeangle"
"584","larsonmiller"
"585","latent"
"586","lath"
"587","lattice"
"588","latticematched"
"589","laue"
"590","laves"
"591","law"
"592","layers"
"593","ledeburite"
"594","ledeburitic"
"595","lensobjective"
"596","lenticular"
"597","lever"
"598","limit"
"599","line"
"600","lineage"
"601","linear"
"602","linebroadening"
"603","lines"
"604","liquid"
"605","liquidphase"
"606","liquidus"
"607","logarithmic"
"608","lomercottrell"
"609","longrange"
"610","loop"
"611","lorentz"
"612","lowangle"
"613","lowenergy"
"614","lower"
"615","lowtemperature"
"616","lüders"
"617","macrograph"
"618","macroscopic"
"619","macrosegregation"
"620","macrostructure"
"621","magnetic"
"622","magnetization"
"623","magnification"
"624","major"
"625","malleable"
"626","map"
"627","maraging"
"628","marking"
"629","marquenching"
"630","martempering"
"631","martensite"
"632","martensitic"
"633","mass"
"634","massive"
"635","master"
"636","material"
"637","mation"
"638","mations"
"639","matrix"
"640","matthiessens"
"641","mcenter"
"642","mean"
"643","mechanical"
"644","mechanism"
"645","median"
"646","melt"
"647","melting"
"648","memory"
"649","mesomorphic"
"650","metadynamic"
"651","metal"
"652","metallic"
"653","metallographic"
"654","metallography"
"655","metastable"
"656","method"
"657","microalloying"
"658","microanalysis"
"659","microband"
"660","microconstituent"
"661","microdiffraction"
"662","micrograph"
"663","microprobe"
"664","microscope"
"665","microscopy"
"666","microsegregation"
"667","microstrain"
"668","microstructure"
"669","microtexture"
"670","midrib"
"671","miller"
"672","millerbravais"
"673","mirror"
"674","miscibility"
"675","misfit"
"676","misorientation"
"677","mixed"
"678","mobility"
"679","mode"
"680","modification"
"681","modulated"
"682","modulus"
"683","moiré"
"684","mol"
"685","monochromatic"
"686","monochromator"
"687","monoclinic"
"688","monocrystalline"
"689","monotectic"
"690","monotectoid"
"691","mosaic"
"692","multiple"
"693","multiplication"
"694","multiplicity"
"695","nabarroherring"
"696","nanocrystalline"
"697","necessary"
"698","néel"
"699","net"
"700","netics"
"701","network"
"702","neumann"
"703","neutron"
"704","nfold"
"705","nitride"
"706","nodular"
"707","nominal"
"708","nondiffusional"
"709","nonoriented"
"710","normal"
"711","normalizing"
"712","nucleation"
"713","nucleus"
"714","number"
"715","numerical"
"716","objectivelens"
"717","observation"
